1,82
1,226
1,496
1,512
1,547
1,593
1,638
1,670
1,674
1,713
1,802
1,855
1,870
1,872
1,884
2,8
2,18
2,132
2,157
2,175
2,188
2,275
2,321
2,349
2,553
2,587
2,624
2,648
2,782
2,821
2,904
2,935
3,45
3,183
3,542
3,581
3,598
3,624
3,667
3,713
3,736
3,903
3,939
4,46
4,156
4,279
4,309
4,420
4,513
4,526
4,588
4,611
4,692
4,764
4,837
4,902
4,907
4,911
4,943
5,42
5,341
5,374
5,425
5,428
5,431
5,702
5,797
5,1000
6,10
6,132
6,244
6,297
6,401
6,402
6,482
6,559
6,657
6,727
6,774
6,862
6,965
7,34
7,98
7,187
7,220
7,334
7,357
7,369
7,395
7,490
7,500
7,570
7,643
7,700
7,742
7,748
7,864
8,2
8,411
8,495
8,614
8,746
8,891
8,916
8,950
8,960
8,983
8,1000
9,30
9,35
9,58
9,75
9,80
9,111
9,213
9,228
9,277
9,315
9,359
9,478
9,486
9,542
9,716
9,810
9,820
9,825
9,852
9,893
9,992
9,1000
10,6
10,35
10,100
10,148
10,196
10,472
10,509
10,591
10,676
10,738
10,881
10,890
11,64
11,98
11,194
11,271
11,290
11,306
11,396
11,429
11,499
11,567
11,580
11,636
11,694
11,712
11,739
11,793
11,804
11,970
12,18
12,42
12,373
12,448
12,481
12,564
12,580
12,615
12,704
12,748
12,750
12,777
12,821
12,860
12,909
12,935
13,217
13,260
13,334
13,386
13,458
13,557
13,572
13,585
13,674
13,751
13,920
14,16
14,30
14,55
14,87
14,199
14,306
14,415
14,614
14,649
14,691
14,742
14,900
14,958
14,963
15,355
15,460
15,549
15,620
15,674
15,680
15,766
16,14
16,87
16,136
16,175
16,486
16,507
16,564
16,576
16,577
16,992
17,27
17,103
17,197
17,220
17,286
17,289
17,341
17,347
17,530
17,632
17,638
17,737
17,739
17,772
17,798
17,875
17,886
17,984
18,2
18,12
18,96
18,188
18,208
18,216
18,367
18,428
18,468
18,525
18,651
18,715
18,788
18,815
18,851
18,924
18,991
19,98
19,101
19,111
19,121
19,169
19,232
19,343
19,394
19,401
19,617
20,65
20,155
20,158
20,237
20,245
20,312
20,354
20,356
20,371
20,488
20,608
20,631
20,651
20,669
20,769
20,831
20,857
20,892
20,961
21,46
21,148
21,166
21,227
21,229
21,276
21,391
21,481
21,509
21,525
21,600
21,658
21,735
21,744
21,807
21,834
21,925
21,944
22,74
22,93
22,103
22,180
22,288
22,610
22,660
22,797
22,827
22,959
22,987
23,35
23,128
23,243
23,264
23,443
23,510
23,574
23,619
23,627
23,645
23,971
24,38
24,92
24,99
24,163
24,188
24,239
24,294
24,345
24,404
24,679
24,731
24,765
24,778
24,827
24,852
24,893
24,958
25,45
25,62
25,188
25,254
25,275
25,302
25,382
25,392
25,430
25,484
25,498
25,677
25,741
25,931
26,253
26,287
26,354
26,372
26,397
26,534
26,659
26,925
26,987
27,17
27,72
27,87
27,88
27,95
27,166
27,214
27,224
27,333
27,512
27,614
27,706
27,726
27,821
27,832
27,910
27,945
28,72
28,100
28,106
28,141
28,269
28,349
28,397
28,431
28,499
28,514
28,631
28,636
28,677
28,695
28,727
28,731
28,777
28,822
28,828
28,894
28,971
29,147
29,157
29,193
29,457
29,528
